CustomerID,Recency,Frequency,Monetary,Quantity,AvgBasket,Country,Cluster,SegmentName
12347,96,5,2540.29,1467,23.965,Iceland,1,VIP / Giá trị cao
12348,221,1,367.0,269,73.4,Finland,2,Ngủ quên / cần kích hoạt lại
12350,312,1,334.4,197,19.670588235294115,Norway,3,Mới hoặc giá trị thấp
12352,275,3,1296.38,156,56.36434782608696,Norway,2,Ngủ quên / cần kích hoạt lại
12355,97,1,459.4,240,35.33846153846154,Bahrain,2,Ngủ quên / cần kích hoạt lại
12356,129,1,481.46000000000004,370,22.92666666666667,Portugal,2,Ngủ quên / cần kích hoạt lại
12357,183,1,6207.67,2708,47.38679389312977,Switzerland,2,Ngủ quên / cần kích hoạt lại
12358,4,2,1168.06,248,61.47684210526315,Austria,0,Trung thành tiềm năng
12359,10,3,3495.73,965,24.445664335664336,Cyprus,1,VIP / Giá trị cao
12362,31,5,2135.79,1077,19.416272727272727,Belgium,1,VIP / Giá trị cao
12363,37,1,299.1,282,18.69375,Unspecified,3,Mới hoặc giá trị thấp
12364,302,1,310.32,502,11.493333333333332,Belgium,3,Mới hoặc giá trị thấp
12367,213,1,168.9,173,15.354545454545455,Denmark,3,Mới hoặc giá trị thấp
12370,69,1,938.39,1005,19.549791666666668,Cyprus,2,Ngủ quên / cần kích hoạt lại
12371,31,1,1527.96,582,24.644516129032258,Switzerland,2,Ngủ quên / cần kích hoạt lại
12372,36,1,515.7,368,27.142105263157898,Denmark,2,Ngủ quên / cần kích hoạt lại
12373,343,1,364.6,197,26.042857142857144,Austria,3,Mới hoặc giá trị thấp
12375,305,1,230.3,87,20.936363636363637,Finland,3,Mới hoặc giá trị thấp
12378,306,1,4008.62,2529,18.30420091324201,Switzerland,2,Ngủ quên / cần kích hoạt lại
12380,158,1,607.5500000000001,293,16.87638888888889,Belgium,2,Ngủ quên / cần kích hoạt lại
12381,1,5,1845.31,808,21.21045977011494,Norway,0,Trung thành tiềm năng
12383,10,2,750.61,610,20.850277777777777,Belgium,0,Trung thành tiềm năng
12384,30,2,585.27,126,21.676666666666666,Switzerland,2,Ngủ quên / cần kích hoạt lại
12386,193,2,401.9,354,40.19,Australia,2,Ngủ quên / cần kích hoạt lại
12388,99,2,334.95000000000005,127,20.934375000000003,Australia,3,Mới hoặc giá trị thấp
12393,40,2,884.1,462,24.558333333333334,Australia,2,Ngủ quên / cần kích hoạt lại
12394,154,2,1272.48,819,47.12888888888889,Belgium,2,Ngủ quên / cần kích hoạt lại
12395,6,7,1762.63,1309,18.554000000000002,Belgium,1,VIP / Giá trị cao
12397,244,1,1195.09,559,21.340892857142855,Belgium,2,Ngủ quên / cần kích hoạt lại
12399,3,3,820.6,814,21.04102564102564,Belgium,0,Trung thành tiềm năng
12401,100,1,84.3,11,16.86,Belgium,3,Mới hoặc giá trị thấp
12406,96,1,1621.25,793,33.08673469387755,Denmark,2,Ngủ quên / cần kích hoạt lại
12407,187,1,719.06,522,21.78969696969697,Belgium,2,Ngủ quên / cần kích hoạt lại
12408,153,2,1396.78,675,34.9195,Belgium,2,Ngủ quên / cần kích hoạt lại
12409,66,1,6207.08,3142,96.985625,Switzerland,2,Ngủ quên / cần kích hoạt lại
12410,253,2,693.3299999999999,211,26.666538461538458,Switzerland,2,Ngủ quên / cần kích hoạt lại
12413,193,2,673.45,261,19.80735294117647,France,2,Ngủ quên / cần kích hoạt lại
12414,189,2,319.61,187,24.585384615384616,Austria,3,Mới hoặc giá trị thấp
12415,71,10,44582.79,25410,197.26898230088497,Australia,1,VIP / Giá trị cao
12417,182,4,1572.48,625,18.9455421686747,Belgium,2,Ngủ quên / cần kích hoạt lại
12420,154,1,600.39,345,20.70310344827586,Cyprus,2,Ngủ quên / cần kích hoạt lại
12422,216,1,147.7,82,18.4625,Australia,3,Mới hoặc giá trị thấp
12423,90,3,548.92,508,13.722999999999999,Belgium,2,Ngủ quên / cần kích hoạt lại
12427,62,2,586.08,193,23.4432,Germany,2,Ngủ quên / cần kích hoạt lại
12428,33,6,6580.52,2977,25.40741312741313,Finland,1,VIP / Giá trị cao
12429,455,1,1281.5,454,64.075,Denmark,2,Ngủ quên / cần kích hoạt lại
12431,3,7,3055.05,1463,31.49536082474227,Australia,1,VIP / Giá trị cao
12433,90,5,9033.92,7658,30.727619047619047,Norway,1,VIP / Giá trị cao
12436,336,1,509.01,211,31.813125,Norway,3,Mới hoặc giá trị thấp
12437,10,7,2040.81,1177,24.588072289156624,France,1,VIP / Giá trị cao
12441,486,1,173.55,121,15.77727272727273,France,3,Mới hoặc giá trị thấp
12442,182,1,172.06,182,14.338333333333333,Spain,3,Mới hoặc giá trị thấp
12444,1,2,1636.08,153,51.1275,Norway,0,Trung thành tiềm năng
12447,68,1,476.49,190,18.326538461538462,Belgium,3,Mới hoặc giá trị thấp
12449,93,3,2724.58,1029,20.640757575757576,Belgium,2,Ngủ quên / cần kích hoạt lại
12450,187,1,96.0,64,48.0,Spain,3,Mới hoặc giá trị thấp
12451,215,2,4927.87,3421,25.401391752577318,Switzerland,2,Ngủ quên / cần kích hoạt lại
12455,187,3,477.46000000000004,243,16.464137931034482,Spain,2,Ngủ quên / cần kích hoạt lại
12457,245,1,196.35,33,196.35,Cyprus,3,Mới hoặc giá trị thấp
12461,126,2,826.88,287,23.62514285714286,Switzerland,2,Ngủ quên / cần kích hoạt lại
12462,100,1,762.11,287,19.05275,Spain,2,Ngủ quên / cần kích hoạt lại
